dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
August,17.91,23.82,55.915,0.04,23.405,1,45,176.0,62.0,7.5,0.996,0
August,17.91,23.82,55.915,0.04,23.405,1,12,153.0,35.0,7.5,1.05445,1
August,18.1,22.21,56.790000000000006,0.245,21.5,1,19,185.0,80.0,22.5,0.5618,0
August,17.6,22.51,65.13,0.09,22.25,0,23,163.0,55.0,7.5,0.4866499999999999,1
August,16.2,22.685,56.89,0.04,23.625,0,24,172.0,58.0,7.5,1.30495,0
August,16.2,21.36,59.675,0.14500000000000002,21.115000000000002,1,22,170.0,55.0,7.5,0.75385,1
August,15.5,20.78,70.66,0.09,20.56,0,48,171.0,65.0,22.5,0.75385,0
August,15.5,20.81,71.13,0.09,20.62,1,47,189.0,84.0,7.5,0.73715,0
August,15.5,20.27,65.78,0.27,21.25,0,34,169.0,58.0,7.5,0.97095,0
August,15.3,20.81,66.9,0.07,21.0,1,32,186.0,87.0,22.5,0.88745,0
August,15.3,20.96,73.99,0.09,20.75,0,27,174.0,57.0,7.5,0.67035,0
August,15.2,21.06,74.35,0.11,20.81,0,12,164.0,54.0,22.5,0.75385,0
August,15.2,21.06,74.35,0.11,20.81,1,15,173.0,55.0,22.5,0.7622,1
August,15.2,21.06,74.35,0.11,20.81,0,51,162.0,65.0,37.5,0.6536500000000001,0
August,15.2,21.799999999999997,66.55,0.185,21.285,0,40,163.0,70.0,37.5,0.75385,-1
August,15.0,21.08,73.65,0.2,21.25,0,60,164.0,92.0,37.5,1.1129,0
August,15.0,21.05,72.28,0.09,20.94,1,46,186.0,95.0,7.5,0.70375,1
August,15.8,21.490000000000002,61.265,0.18,20.655,1,36,189.0,97.0,7.5,0.73715,1
August,16.7,21.79,68.47,0.27,21.37,1,33,180.0,88.0,7.5,0.5284,0
August,16.5,22.83,68.05,0.11,22.56,1,71,180.0,120.0,7.5,0.3113,0
August,16.5,22.715,58.644999999999996,0.16999999999999998,22.16,0,66,167.0,61.0,22.5,0.55345,-1
August,17.4,21.37,62.08,0.26,20.88,1,15,189.0,98.0,22.5,1.05445,1
August,17.4,21.77,64.85,0.29,22.06,0,35,165.0,80.0,7.5,0.4866499999999999,-1
August,17.6,23.125,56.86,0.21000000000000002,21.78,1,63,172.0,62.0,22.5,0.9292,0
August,17.5,22.92,62.65,0.32,22.81,1,12,170.0,80.0,22.5,0.4616,0
August,17.5,23.16,62.65,0.4,22.81,0,15,164.0,57.0,22.5,0.90415,1
August,17.5,23.12,62.65,0.3,22.81,0,70,175.0,70.0,22.5,1.05445,1
August,17.5,23.41,56.2,0.22,22.345,0,24,168.0,56.0,22.5,1.13795,-1
August,17.1,24.65,52.519999999999996,0.05,24.535,0,76,167.0,60.0,22.5,0.7622,0
August,16.91,23.259999999999998,54.345,0.245,22.34,0,19,156.0,48.0,7.5,0.82065,0
August,17.7,23.44,50.504999999999995,0.16,22.405,1,27,183.0,72.0,22.5,0.8958,0
August,17.7,20.78,54.53,0.06,20.75,0,27,164.0,75.0,7.5,0.60355,-1
August,17.7,20.7,54.44,0.06,20.81,1,31,168.0,86.0,7.5,0.5116999999999999,-1
August,17.7,21.33,57.75,0.23,20.25,0,31,160.0,64.0,7.5,0.82065,1
August,17.2,22.345,50.665000000000006,0.16499999999999998,22.125,1,30,180.0,81.0,22.5,0.4449,0
August,17.2,20.64,56.91,0.22,19.94,0,35,170.0,70.0,22.5,0.4198499999999999,1
August,17.5,20.53,59.42,0.23,19.94,1,73,176.0,70.0,7.5,0.7789,0
August,17.8,24.32,52.53,0.05,24.44,0,42,170.0,61.0,7.5,0.88745,1
August,17.6,22.505,50.575,0.175,21.965,1,65,181.0,91.0,22.5,0.90415,-1
August,17.6,22.225,49.34,0.7050000000000001,21.995,0,23,165.0,59.0,7.5,0.88745,0
August,17.6,20.89,55.66,0.13,20.94,0,23,160.0,55.0,22.5,0.7622,0
August,17.41,20.64,54.9,0.07,20.88,0,24,156.0,50.0,22.5,0.68705,-1
August,17.5,24.424999999999997,49.269999999999996,0.05,24.465,1,24,192.0,75.0,7.5,0.9626,1
August,17.5,21.56,58.55,0.25,21.19,0,58,157.0,60.0,7.5,0.7622,1
August,17.9,24.925,48.93,0.07,25.310000000000002,1,48,180.0,77.0,52.5,0.8958,-1
August,17.7,21.98,53.05,0.07,22.06,0,13,160.0,47.0,22.5,0.98765,0
August,18.7,24.924999999999997,46.025,0.04,25.185,1,30,180.0,88.0,7.5,0.8958,1
August,18.7,22.3,52.29,0.1,22.5,1,29,181.0,69.0,22.5,0.70375,0
August,19.0,22.64,56.26,0.33,22.37,1,73,180.0,100.0,22.5,0.4616,0
August,19.0,23.3,56.99,0.18,23.12,0,45,170.0,100.0,7.5,0.6954,0
August,19.1,22.92,52.37,0.3,22.87,0,24,173.0,58.0,22.5,0.7956,-1
August,19.1,22.99,56.12,0.29,22.75,1,53,190.0,99.0,22.5,0.4616,1
August,19.2,23.01,56.0,0.29,22.75,1,28,182.0,98.0,52.5,0.7622,0
August,19.2,23.84,54.05,0.13,23.87,1,64,180.0,105.0,7.5,0.90415,1
August,19.2,23.86,54.78,0.11,23.87,1,17,189.0,73.0,22.5,0.4616,0
August,18.9,22.31,53.97,0.28,22.13,1,17,189.0,84.0,7.5,0.63695,1
August,18.6,22.36,54.62,0.32,22.31,0,41,164.0,60.0,22.5,0.7622,-1
August,18.6,23.84,55.55,0.14,23.81,1,43,178.0,84.0,22.5,0.6703500000000001,1
August,17.91,23.8,55.99,0.14,23.87,1,39,188.0,79.0,7.5,0.60355,0
August,17.8,22.11,55.71,0.36,22.25,0,25,150.0,44.0,7.5,0.7288,0
August,18.0,22.7,52.5,0.13,23.25,1,25,165.0,45.0,7.5,0.8540500000000001,0
August,18.0,23.7,56.31,0.12,23.87,0,44,173.0,85.0,7.5,0.75385,0
August,18.1,21.89,55.93,0.29,21.87,1,20,180.0,85.0,7.5,0.8791,-1
August,17.7,21.91,57.59,0.23,21.75,0,85,185.0,76.0,7.5,0.77055,0
August,17.6,23.745,51.28,0.26,23.965,1,47,182.0,84.0,7.5,0.90415,-1
August,17.7,23.825000000000003,50.375,0.245,23.815,0,81,155.0,59.0,22.5,0.9626,1
August,17.7,23.84,50.535,0.2,23.810000000000002,0,18,163.0,57.0,7.5,0.5116999999999999,0
August,17.8,22.09,58.36,0.39,22.31,0,63,176.0,62.0,7.5,1.1296,1
August,17.8,22.31,54.79,0.11,22.75,0,57,167.0,68.0,7.5,0.55345,0
August,17.8,22.06,58.19,0.28,22.31,1,26,176.0,84.0,22.5,0.6119,1
August,18.1,22.44,57.58,0.29,22.62,1,15,195.0,60.0,7.5,0.58685,-1
August,18.1,23.17,59.67,0.1,23.19,1,15,178.0,60.0,7.5,0.7622,1
August,18.3,22.39,54.95,0.08,22.75,0,19,167.0,55.0,52.5,1.18805,1
August,18.3,22.54,57.65,0.33,22.69,1,21,184.0,80.0,22.5,0.8791,1
August,18.4,21.98,57.36,0.26,22.13,1,47,185.0,86.0,7.5,0.4616,0
August,18.4,22.56,57.29,0.29,22.75,0,33,172.0,70.0,7.5,0.6703500000000001,0
August,18.1,23.67,48.364999999999995,0.255,23.810000000000002,1,18,200.0,100.0,7.5,0.9626,1
August,18.1,22.58,53.73,0.15,22.69,1,34,182.0,80.0,7.5,0.80395,1
August,18.1,22.6,53.66,0.1,22.75,1,43,176.0,95.0,7.5,0.8540500000000001,0
August,17.1,22.04,53.504999999999995,0.195,22.875,1,35,175.0,65.0,7.5,0.662,-1
August,16.6,20.58,63.02,0.22,20.62,1,38,186.0,78.0,7.5,1.18805,-1
August,16.41,21.935000000000002,55.010000000000005,0.175,22.25,1,26,178.0,65.0,7.5,1.10455,0
August,16.1,20.66,61.64,0.06,21.25,1,27,171.0,55.0,7.5,0.88745,-1
August,15.3,20.8,68.93,0.09,21.0,0,25,158.0,45.0,7.5,1.15465,1
August,15.3,21.950000000000003,58.015,0.14,22.09,1,36,179.0,110.0,7.5,0.62025,1
August,15.3,20.81,68.96,0.09,21.0,1,23,180.0,82.0,7.5,1.0795,1
August,15.1,20.87,67.16,0.26,20.81,1,25,184.0,80.0,22.5,0.60355,0
August,15.0,23.17,57.894999999999996,0.04,24.22,0,24,165.0,56.0,22.5,0.90415,0
August,15.0,22.015,59.125,0.15,22.12,0,34,150.0,50.0,7.5,0.60355,1
August,15.0,20.83,67.1,0.09,21.25,1,28,186.0,95.0,22.5,0.8958,-1
August,14.8,20.45,64.23,0.27,21.0,1,46,178.0,105.0,22.5,0.6954,1
August,14.8,20.86,62.54,0.06,21.19,1,24,190.0,89.0,7.5,0.72045,0
August,15.0,22.9,57.755,0.04,23.78,0,42,167.0,70.0,7.5,0.5451,0
August,15.2,21.38,68.9,0.09,21.75,1,48,178.0,68.0,22.5,0.78725,0
August,15.41,21.44,68.6,0.09,21.81,0,26,165.0,58.0,7.5,0.7121000000000001,1
November,5.2,12.83,74.57,0.44,12.81,0,62,162.0,60.0,7.5,1.1964,-1
November,5.3,13.274999999999999,72.64,0.0,12.435,0,36,163.0,65.0,7.5,0.8457,0
November,5.3,13.275,72.695,0.0,12.435,1,44,190.0,100.0,7.5,1.38845,-1
November,5.3,12.59,78.67,0.13,11.63,0,31,170.0,55.0,7.5,1.4469,1
November,5.6,12.925,72.94999999999999,0.0,12.375,1,33,188.0,85.0,7.5,1.1296,-1
November,5.6,12.29,76.63,0.1,11.5,0,23,168.0,68.0,22.5,1.07115,-1
November,5.5,11.43,75.47,0.12,12.31,0,77,165.0,62.0,7.5,1.30495,-1
November,5.5,11.95,81.54,0.04,11.31,0,22,178.0,80.0,7.5,1.0628,0
November,5.6,11.96,78.975,0.03,11.625,0,25,163.0,65.0,7.5,1.1463,0
November,5.6,11.96,78.975,0.03,11.625,0,82,165.0,62.0,7.5,1.15465,-1
November,5.5,11.96,79.94,0.03,11.655000000000001,0,27,168.0,57.0,37.5,0.98765,0
November,5.4,11.69,77.94,0.03,10.75,1,38,187.0,69.0,7.5,0.8958,0
November,5.3,11.44,81.3,0.06,11.0,1,33,174.0,61.0,7.5,1.30495,0
November,5.2,11.41,77.89,0.03,10.56,1,73,167.0,83.0,7.5,1.05445,0
November,5.4,10.87,77.71000000000001,0.03,10.875,1,61,176.0,80.0,7.5,1.00435,-1
November,5.4,10.885,77.955,0.03,10.844999999999999,1,38,183.0,60.0,7.5,1.23815,-1
November,5.6,10.71,78.53,0.12,10.13,1,35,189.0,87.0,7.5,1.3133,-1
November,5.6,10.64,79.56,0.03,9.81,1,47,184.0,81.0,22.5,0.8958,-1
November,5.6,11.975,72.59,0.01,12.030000000000001,0,35,176.0,67.0,7.5,1.1129,0
November,5.9,11.0,84.67,0.03,10.13,0,27,160.0,60.0,7.5,1.2298,1
November,5.9,12.120000000000001,73.035,0.0,12.125,0,55,170.0,74.0,7.5,0.9793,0
November,6.0,11.51,78.53,0.12,10.5,1,26,190.0,90.0,7.5,1.23815,1
November,6.0,11.51,78.53,0.12,10.5,0,85,163.0,76.0,7.5,1.28825,-1
November,6.0,11.184999999999999,82.245,0.04,10.94,0,83,157.0,53.0,22.5,1.1964,-1
November,6.0,11.27,82.69,0.07,11.0,0,86,164.0,61.0,22.5,1.2465,-1
November,6.1,11.415,83.11,0.03,11.065000000000001,0,83,169.0,70.0,22.5,1.1129,-1
November,6.3,11.76,86.16,0.06,10.69,0,49,160.0,50.0,22.5,1.0795,0
November,6.3,12.45,79.76,0.11,11.12,0,71,162.0,51.0,22.5,1.15465,0
November,6.2,11.86,85.8,0.06,10.69,1,52,186.0,95.0,22.5,1.07115,0
November,6.3,14.555,68.695,0.02,13.934999999999999,1,35,177.0,78.0,7.5,1.30495,1
November,6.3,13.635000000000002,75.935,0.03,12.97,1,35,173.0,65.0,7.5,1.2632,-1
November,6.4,14.61,77.09,0.1,12.63,1,47,183.0,90.0,7.5,1.33835,1
November,6.4,14.61,77.09,0.1,12.63,0,60,178.0,84.0,7.5,1.07115,0
November,6.8,13.54,74.15,0.35,13.56,0,23,168.0,72.0,22.5,1.15465,-1
November,6.8,13.805,75.38,0.03,13.184999999999999,0,33,172.0,62.0,7.5,1.30495,-1
November,6.8,15.48,75.4,0.1,12.88,1,45,175.0,130.0,22.5,0.8958,1
November,6.8,15.225,72.20500000000001,0.01,14.84,1,34,165.0,62.0,7.5,1.25485,0
November,6.4,14.5,72.59,0.09,13.31,0,77,170.0,57.0,7.5,1.33,1
November,6.5,13.11,73.08500000000001,0.03,12.94,1,25,198.0,98.0,7.5,0.9793,0
November,6.5,12.52,72.93,0.09,12.0,0,63,172.0,63.0,7.5,1.163,0
November,6.6,12.18,76.62,0.07,11.69,1,27,183.0,110.0,7.5,0.8624,0
November,6.6,12.7,73.9,0.1,12.06,0,85,160.0,62.0,7.5,1.10455,-1
November,6.6,13.785,66.03,0.01,13.94,0,14,153.0,50.0,7.5,1.2465,0
November,6.7,12.75,73.525,0.05,12.530000000000001,0,53,173.0,69.0,7.5,1.33835,-1
November,6.7,12.04,76.94,0.09,11.56,0,18,158.0,60.0,7.5,1.1964,-1
November,6.7,12.08,77.24,0.07,11.56,1,31,177.0,72.0,7.5,1.05445,0
November,6.8,12.52,74.52,0.03,12.435,1,20,175.0,65.0,22.5,1.1296,-1
November,7.0,12.235,75.695,0.03,12.219999999999999,0,41,177.0,60.0,22.5,1.2799,-1
November,7.0,12.2,73.31,0.27,12.69,0,66,162.0,62.0,7.5,1.15465,0
November,7.4,13.445,68.03999999999999,0.0,13.690000000000001,1,20,186.0,75.0,22.5,1.22145,1
November,7.2,12.8,76.03,0.06,12.0,1,23,168.0,72.0,22.5,1.15465,-1
November,7.3,15.476,69.79,0.02,13.06,1,24,190.0,79.0,7.5,0.98765,0
November,7.3,14.24,71.43,0.09,13.06,0,23,168.0,75.0,7.5,1.15465,-1
November,7.5,16.15,71.8,0.12,13.94,0,29,175.0,69.0,7.5,1.35505,1
November,7.6,16.705,63.86,0.02,16.375,1,24,177.0,75.0,7.5,0.97095,1
November,7.6,16.7,72.51,0.2,14.06,0,48,163.0,53.0,7.5,1.4803,0
November,7.6,17.31,69.44,0.02,14.38,0,31,168.0,60.0,22.5,1.23815,1
November,7.6,16.89,73.32,0.14,14.13,1,70,173.0,85.0,7.5,0.9626,1
November,7.4,17.05,70.59,0.12,14.06,0,49,166.0,50.0,7.5,1.1964,0
November,7.3,15.945,69.67,0.04,14.875,1,19,170.0,70.0,7.5,1.00435,-1
November,7.5,16.66,63.15,0.02,16.97,1,55,186.0,79.0,7.5,0.9793,0
November,7.8,17.8,70.43,0.16,14.63,1,32,181.0,68.0,7.5,1.5304,0
November,7.7,16.46,71.02,0.16,14.63,1,25,162.0,70.0,22.5,1.163,0
November,7.7,16.17,70.5,0.07,15.22,0,40,156.0,73.0,22.5,1.2298,0
November,7.5,18.270000000000003,60.075,0.02,18.155,0,25,168.0,60.0,7.5,1.17135,0
November,7.5,14.785,60.58,0.02,18.215,1,26,185.0,70.0,7.5,1.22145,0
November,7.6,16.87,68.73,0.27,15.63,0,30,178.0,70.0,7.5,1.4302,0
November,7.9,17.57,67.29,0.07,15.69,1,16,193.0,90.0,22.5,0.8624,1
November,8.1,19.244999999999997,60.255,0.03,19.0,0,33,173.0,61.0,22.5,1.27155,1
March,7.9,12.375,45.230000000000004,0.03,12.434999999999999,0,18,169.0,70.0,5.0,1.02105,-1
March,7.9,11.86,45.21,0.03,11.44,1,35,189.0,85.0,7.5,0.8457,-1
March,8.1,11.38,51.56,0.16,11.25,0,33,165.0,61.0,10.0,1.3467,-1
March,8.1,12.24,46.62,0.02,11.75,0,29,162.0,63.0,10.0,1.1129,-1
March,8.4,11.6,51.48,0.09,11.44,1,49,193.0,100.0,12.5,0.8958,0
March,8.4,12.985,47.364999999999995,0.03,12.91,0,44,158.0,65.0,5.0,0.6703500000000001,0
March,8.4,12.61,46.5,0.0,12.75,1,45,176.0,76.0,17.5,0.9208500000000002,-1
March,8.5,12.69,47.37,0.03,12.19,1,34,170.0,89.0,20.0,0.9292,-1
March,8.9,12.92,46.66,0.02,12.44,1,27,185.0,94.0,2.5,1.3467,-1
March,8.5,13.13,45.83,0.02,12.63,0,22,163.0,58.0,2.5,1.40515,-1
March,8.5,12.49,51.48,0.19,12.31,0,57,168.0,58.0,5.0,1.15465,-1
March,8.6,14.25,42.53,0.02,13.81,0,20,163.0,66.0,7.5,0.95425,0
March,8.9,14.78,43.65,0.02,14.25,1,17,179.0,64.0,12.5,1.10455,1
March,9.3,15.06,44.49,0.02,14.5,0,37,160.0,78.0,17.5,1.1463,0
March,9.2,15.06,41.84,0.02,14.69,0,50,167.0,68.0,7.5,1.30495,-1
March,9.9,14.83,38.04,0.02,14.56,1,16,175.0,55.0,17.5,0.7288,0
March,9.8,15.87,45.78,0.19,14.63,0,60,170.0,79.0,5.0,1.3634,-1
March,10.1,17.26,44.97,0.22,16.06,1,16,161.0,43.0,2.5,0.5785,1
March,10.5,18.51,37.87,0.0,17.94,1,18,181.0,70.0,7.5,0.67035,0
March,10.6,19.14,37.03,0.0,18.06,1,32,184.0,71.0,27.5,0.68705,-1
March,10.3,19.37,34.89,0.01,18.44,0,51,174.0,56.0,2.5,1.10455,0
March,10.3,19.3,34.89,0.01,18.44,0,57,173.0,68.0,7.5,1.2799,-1
March,10.2,19.2,34.99,0.01,18.5,0,38,164.0,65.0,22.5,1.30495,1
March,10.1,19.06,35.47,0.01,18.56,1,35,189.0,85.0,37.5,1.13795,-1
March,10.2,19.175,37.144999999999996,0.11,18.815,1,17,183.0,74.0,5.0,0.8791,1
March,10.3,19.195,37.14,0.11,18.78,0,18,163.0,52.0,5.0,1.2799,0
March,10.2,19.58,34.01,0.0,18.69,1,27,185.0,94.0,7.5,1.17135,1
March,10.1,19.155,35.25,0.08,18.905,0,61,172.0,85.0,7.5,0.8457,0
March,10.2,18.54,33.504999999999995,0.05,18.56,0,65,163.0,69.0,2.5,0.996,0
March,10.0,18.4,33.97,0.01,18.19,0,55,150.0,60.0,2.5,1.1463,0
March,9.9,19.75,38.82,0.12,19.0,1,60,168.0,78.0,7.5,0.8958000000000002,-1
March,10.3,19.06,36.51,0.01,18.75,1,40,181.0,85.0,7.5,1.57215,0
March,10.1,19.700000000000003,33.77,0.1,19.78,1,36,192.0,83.0,2.5,1.15465,0
March,10.1,17.96,43.34,0.26,18.25,0,26,176.0,59.0,20.0,0.8290000000000001,-1
March,10.1,19.37,32.25,0.02,20.19,0,16,173.0,63.0,2.5,0.996,1
March,9.9,19.74,31.98,0.02,20.31,1,33,189.0,105.0,7.5,1.17135,1
March,10.0,18.98,33.37,0.01,18.94,0,87,166.0,69.0,12.5,1.30495,0
March,9.9,19.475,34.03,0.07,19.875,1,49,170.0,64.0,5.0,1.2298,-1
March,10.0,18.87,34.99,0.01,18.87,0,36,173.0,62.0,7.5,1.03775,-1
March,10.2,19.02,32.66,0.02,19.81,0,23,165.0,65.0,5.0,0.8457,0
March,10.4,19.15,34.43,0.01,18.69,1,40,185.0,80.0,2.5,1.2966,1
April,14.5,18.26,52.56,0.05,17.37,1,35,189.0,85.0,5.0,0.996,-1
April,14.6,17.99,51.49,0.06,18.06,1,17,183.0,70.0,5.0,1.4135,-1
April,14.3,18.145,51.69,0.05,18.78,1,31,178.0,70.0,5.0,1.1463,1
April,13.9,18.049999999999997,58.2,0.08,18.155,0,36,169.0,64.0,5.0,1.17135,1
April,13.7,17.26,58.08,0.01,17.87,0,83,175.0,70.0,10.0,1.1463,1
April,13.5,18.75,55.425,0.06,19.37,0,35,158.0,50.0,5.0,0.98765,1
April,13.6,18.755,55.17,0.06,19.37,1,38,174.0,81.0,32.5,1.1463,1
April,13.3,18.68,51.31,0.01,17.5,1,31,189.0,82.0,5.0,1.3467,1
April,13.2,18.76,60.38,0.04,18.12,0,17,171.0,93.0,10.0,1.18805,0
April,13.1,18.21,59.28,0.05,17.81,0,47,160.0,72.0,2.5,1.18805,1
April,13.1,18.76,63.95,0.05,18.06,0,26,173.0,63.0,5.0,1.23815,1
April,13.1,18.76,63.32,0.03,18.12,0,42,163.0,67.0,20.0,0.9292,1
April,13.0,18.62,61.32,0.04,18.19,0,11,146.0,38.0,22.5,1.1797,0
April,12.9,19.04,64.695,0.04,18.560000000000002,0,45,170.0,75.0,10.0,0.88745,1
April,12.8,18.805,63.65,0.04,18.53,0,38,157.0,57.0,2.5,1.0795,0
April,12.8,18.805,63.65,0.04,18.53,1,38,183.0,100.0,2.5,0.9626,0
April,12.9,18.31,61.18,0.05,18.31,1,60,181.0,86.0,5.0,0.6954,1
April,12.9,18.8,60.71,0.01,18.06,0,25,168.0,58.0,5.0,0.97095,1
April,13.1,19.41,56.475,0.07,20.315,0,51,160.0,64.0,10.0,1.2632,1
April,13.0,18.675,61.83,0.04,18.495,0,38,172.0,57.0,12.5,1.4135,-1
April,13.1,19.39,56.7,0.07,20.375,0,21,172.0,55.0,5.0,1.0294,0
April,13.1,18.655,62.17,0.05,18.5,0,43,176.0,55.0,7.5,1.4803,0
April,13.1,16.87,61.67,0.05,18.06,1,47,172.0,98.0,22.5,0.9291999999999999,0
April,13.0,19.845,57.08,0.07,20.625,0,34,170.0,75.0,10.0,1.1964,-1
April,13.1,17.06,61.1,0.05,18.25,0,28,170.0,60.0,2.5,1.17135,1
April,13.1,17.27,60.85,0.01,18.37,0,51,166.0,68.0,2.5,1.0628,0
April,13.0,20.310000000000002,55.41,0.09,20.810000000000002,0,56,166.0,82.0,7.5,1.1296,1
April,13.0,18.71,57.42,0.06,18.47,0,51,160.0,65.0,27.5,1.23815,1
April,8.1,18.265,58.815,0.07,19.625,1,34,186.0,78.0,12.5,1.07115,0
April,7.9,18.265,58.885,0.07,19.625,0,26,172.0,64.0,12.5,1.2465,1
April,7.9,17.325,58.42,0.08,19.155,1,26,180.0,85.0,10.0,1.27155,0
April,7.7,17.02,69.17,0.07,16.69,1,27,185.0,95.0,2.5,1.0962,-1
April,6.9,15.06,64.16,0.05,16.69,0,30,165.0,53.0,7.5,1.8477,1
June,18.094,23.22,53.23,0.03,23.25,0,70,170.0,60.0,5.0,0.9626,1
June,18.188,25.08,49.925,0.14,24.5,1,58,183.0,80.0,5.0,0.4616,0
June,18.188,25.08,49.925,0.14,24.5,1,35,200.0,90.0,5.0,0.4616,1
June,18.094,24.65,52.01,0.01,24.06,1,20,185.0,70.0,5.0,0.4532499999999999,1
June,18.094,23.905,50.12,0.02,23.87,0,38,160.0,50.0,5.0,0.40315,-1
June,18.094,24.8,51.72,0.03,24.12,1,35,189.0,85.0,12.5,0.4616,1
June,18.094,25.02,49.6,0.16,24.685,0,39,165.0,65.0,12.5,0.829,0
June,18.5,23.864,51.14,0.03,23.56,1,20,176.0,58.0,7.5,0.7956,-1
June,18.594,25.185000000000002,49.56,0.17,24.845,0,27,154.0,53.0,17.5,0.53675,1
June,18.594,24.97,51.94,0.1,24.81,0,18,168.0,50.0,5.0,0.88745,1
June,19.188,25.36,50.22,0.1,25.31,0,46,162.0,53.0,2.5,0.7454999999999999,1
June,19.188,25.0652,47.68,0.01,25.12,1,37,182.0,92.0,5.0,0.6703500000000001,-1
June,19.813,26.9,50.78,0.0,25.0,0,80,170.0,70.0,5.0,0.5451,0
June,19.906,26.55,52.9,0.1,26.19,0,17,170.0,53.0,7.5,0.60355,-1
June,19.688,27.276,51.93,0.01,25.37,0,7,120.0,30.0,7.5,0.3113,1
June,19.688,27.526,52.43,0.01,25.44,0,34,165.0,53.0,7.5,0.45325,1
June,20.094,26.974,50.64,0.0,25.56,0,34,170.0,54.0,10.0,0.58685,1
June,20.313,25.426,56.71,0.04,25.25,0,47,183.0,95.0,2.5,0.2946,1
June,20.688,26.72,51.44,0.1,26.69,0,51,173.0,108.0,2.5,0.4449,-1
June,20.688,26.75,51.29,0.1,26.69,0,51,178.0,85.0,2.5,1.4302,1
June,20.688,26.75,51.29,0.1,26.69,0,60,165.0,60.0,2.5,0.4616,1
June,20.688,25.83,53.5,0.01,25.56,0,32,174.0,77.0,5.0,0.7288,1
June,20.313,26.576,49.13,0.1,26.75,0,18,170.0,72.0,5.0,0.3113,0
June,20.813,26.85,50.86,0.01,25.75,1,23,170.0,75.0,7.5,0.495,1
