dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
August,15.69,18.56,73.44,0.04,17.87,0,23,169.0,74.0,7.5,1.0628,-1
August,15.59,19.185000000000002,74.41,0.155,18.125,1,18,186.0,105.0,22.5,0.82065,0
August,15.69,19.58,73.255,0.02,18.905,0,33,160.0,45.0,7.5,0.72045,0
August,15.69,19.105,73.275,0.24,18.155,0,26,167.0,59.0,7.5,0.65365,-1
August,15.69,19.05,77.18,0.24,18.62,0,47,172.0,70.0,7.5,0.7454999999999999,1
August,15.69,19.695,73.39,0.02,19.75,1,23,185.0,73.0,7.5,0.98765,-1
August,15.69,19.08,77.14,0.26,18.69,1,49,178.0,60.0,22.5,0.3948,0
August,15.81,18.65,72.33,0.04,18.37,1,29,192.0,95.0,22.5,0.6536500000000001,1
August,15.81,19.299999999999997,72.77000000000001,0.18,18.375,0,27,155.0,55.0,7.5,0.70375,1
August,15.81,19.23,71.725,0.17500000000000002,18.47,1,33,190.0,100.0,7.5,0.98765,1
August,15.91,19.225,71.67500000000001,0.18,18.44,1,56,187.0,130.0,22.5,0.8123,-1
August,15.91,19.245,71.655,0.13,18.47,0,46,155.0,73.0,7.5,0.90415,0
August,15.91,18.71,72.42,0.04,18.5,1,38,191.0,78.0,7.5,1.17135,0
August,15.91,19.12,75.91,0.26,19.12,0,47,165.0,60.0,52.5,0.98765,0
August,15.91,19.29,77.4,0.08,19.12,0,39,150.0,66.0,7.5,1.47195,-1
August,16.1,19.42,70.5,0.16,18.53,1,22,184.0,78.0,22.5,0.75385,-1
August,16.1,19.39,75.36,0.08,19.37,0,43,158.0,63.0,7.5,0.68705,0
August,16.5,19.86,74.73,0.08,20.06,1,25,170.0,68.0,60.0,0.58685,0
August,16.3,19.5,71.04,0.04,19.31,0,24,165.0,54.0,22.5,1.1129,1
August,16.3,20.07,75.69,0.08,20.19,0,19,167.0,64.0,22.5,0.58685,1
August,16.3,20.15,70.34,0.15,18.97,1,16,180.0,90.0,7.5,0.55345,1
August,16.2,20.14,69.935,0.135,19.0,0,58,163.0,99.0,7.5,1.0127,1
August,16.41,20.18,73.41,0.29,20.56,1,18,188.0,88.0,7.5,0.60355,0
August,17.7,21.715,62.26,0.14,20.34,0,24,165.0,60.0,7.5,0.38645,0
August,17.7,20.54,66.41,0.05,19.75,1,68,180.0,79.0,52.5,0.93755,1
August,17.7,20.92,72.46,0.08,20.56,0,34,165.0,78.0,7.5,0.75385,1
August,17.6,21.365000000000002,61.254999999999995,0.175,20.5,0,31,163.0,60.0,7.5,0.62025,0
August,17.6,21.985,60.099999999999994,0.03,22.0,0,39,167.0,68.0,37.5,0.9459,0
August,17.5,20.69,64.11,0.09,20.5,1,48,180.0,70.0,7.5,0.68705,1
August,17.5,21.59,64.07,0.18,20.375,0,30,172.0,66.0,7.5,0.60355,-1
August,17.6,22.73,58.239999999999995,0.03,22.495,0,52,160.0,60.0,7.5,0.46995,0
August,17.5,20.89,60.44,0.06,21.0,0,23,168.0,54.0,7.5,0.8791,1
August,17.5,20.54,65.1,0.23,19.94,1,30,172.0,63.0,22.5,0.55345,1
August,17.7,20.67,65.86,0.23,20.06,0,30,155.0,60.0,22.5,0.46995,0
August,17.8,21.01,61.23,0.07,21.06,1,35,189.0,85.0,60.0,0.7622,1
August,17.81,21.68,60.09,0.1,21.62,0,43,170.0,56.0,7.5,0.68705,0
