dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
1,17.8,24.32,52.53,0.05,24.44,0,42,170,61,7.5,0.88745,2
1,17.6,22.505,50.575,0.175,21.965,1,65,181,91,22.5,0.90415,-1
1,17.6,22.225,49.34,0.7050000000000001,21.995,0,23,165,59,7.5,0.88745,0
1,17.6,20.89,55.66,0.13,20.94,0,23,160,55,22.5,0.7622,0
1,17.41,20.64,54.9,0.07,20.88,0,24,156,50,22.5,0.68705,-2
1,17.5,24.424999999999997,49.269999999999996,0.05,24.465,1,24,192,75,7.5,0.9626,2
1,17.5,21.56,58.55,0.25,21.19,0,58,157,60,7.5,0.7622,1
1,17.9,24.925,48.93,0.07,25.310000000000002,1,48,180,77,52.5,0.8958,-1
1,17.7,21.98,53.05,0.07,22.06,0,13,160,47,22.5,0.98765,0
1,18.7,24.924999999999997,46.025,0.04,25.185,1,30,180,88,7.5,0.8958,1
1,18.7,22.3,52.29,0.1,22.5,1,29,181,69,22.5,0.70375,0
1,19.0,22.64,56.26,0.33,22.37,1,73,180,100,22.5,0.4616,0
1,19.0,23.3,56.99,0.18,23.12,0,45,170,100,7.5,0.6954,0
1,19.1,22.92,52.37,0.3,22.87,0,24,173,58,22.5,0.7956,-3
1,19.1,22.99,56.12,0.29,22.75,1,53,190,99,22.5,0.4616,2
1,19.2,23.01,56.0,0.29,22.75,1,28,182,98,52.5,0.7622,0
1,19.2,23.84,54.05,0.13,23.87,1,64,180,105,7.5,0.90415,1
1,19.2,23.86,54.78,0.11,23.87,1,17,189,73,22.5,0.4616,0
1,18.9,22.31,53.97,0.28,22.13,1,17,189,84,7.5,0.63695,1
1,18.6,22.36,54.62,0.32,22.31,0,41,164,60,22.5,0.7622,-1
1,18.6,23.84,55.55,0.14,23.81,1,43,178,84,22.5,0.6703500000000001,1
1,17.91,23.8,55.99,0.14,23.87,1,39,188,79,7.5,0.60355,0
1,17.8,22.11,55.71,0.36,22.25,0,25,150,44,7.5,0.7288,0
1,18.0,22.7,52.5,0.13,23.25,1,25,165,45,7.5,0.8540500000000001,0
1,18.0,23.7,56.31,0.12,23.87,0,44,173,85,7.5,0.75385,0
1,18.1,21.89,55.93,0.29,21.87,1,20,180,85,7.5,0.8791,-3
1,17.7,21.91,57.59,0.23,21.75,0,85,185,76,7.5,0.77055,0
1,17.6,23.745,51.28,0.26,23.965,1,47,182,84,7.5,0.90415,-1
1,17.7,23.825000000000003,50.375,0.245,23.815,0,81,155,59,22.5,0.9626,1
1,17.7,23.84,50.535,0.2,23.810000000000002,0,18,163,57,7.5,0.5116999999999999,0
1,17.8,22.09,58.36,0.39,22.31,0,63,176,62,7.5,1.1296,2
1,17.8,22.31,54.79,0.11,22.75,0,57,167,68,7.5,0.55345,0
