Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal comfort (global)
19.1,22.99,56.12,0.29,22.75,1,53,190,99,1.0,0.4616,1
19.2,23.01,56.0,0.29,22.75,1,28,182,98,3.0,0.7622,0
19.2,23.84,54.05,0.13,23.87,1,64,180,105,0.0,0.90415,0
19.2,23.86,54.78,0.11,23.87,1,17,189,73,1.0,0.4616,0
18.9,22.31,53.97,0.28,22.13,1,17,189,84,0.0,0.63695,0
18.6,22.36,54.62,0.32,22.31,0,41,164,60,1.0,0.7622,0
18.6,23.84,55.55,0.14,23.81,1,43,178,84,1.0,0.6703500000000001,0
17.91,23.8,55.99,0.14,23.87,1,39,188,79,0.0,0.60355,0
17.8,22.11,55.71,0.36,22.25,0,25,150,44,0.0,0.7288,1
18.0,22.7,52.5,0.13,23.25,1,25,165,45,0.0,0.8540500000000001,1
18.0,23.7,56.31,0.12,23.87,0,44,173,85,0.0,0.75385,1
18.1,21.89,55.93,0.29,21.87,1,20,180,85,0.0,0.8791,0
17.7,21.91,57.59,0.23,21.75,0,85,185,76,0.0,0.77055,0
17.6,23.745,51.28,0.26,23.965,1,47,182,84,0.0,0.90415,0
17.7,23.825000000000003,50.375,0.245,23.815,0,81,155,59,1.0,0.9626,0
17.7,23.84,50.535,0.2,23.810000000000002,0,18,163,57,0.0,0.5116999999999999,1
17.8,22.09,58.36,0.39,22.31,0,63,176,62,0.0,1.1296,1
17.8,22.31,54.79,0.11,22.75,0,57,167,68,0.0,0.55345,0
17.8,22.06,58.19,0.28,22.31,1,26,176,84,1.0,0.6119,0
18.1,22.44,57.58,0.29,22.62,1,15,195,60,0.0,0.58685,0
18.1,23.17,59.67,0.1,23.19,1,15,178,60,0.0,0.7622,1
18.3,22.39,54.95,0.08,22.75,0,19,167,55,3.0,1.18805,0
18.3,22.54,57.65,0.33,22.69,1,21,184,80,1.0,0.8791,0
18.4,21.98,57.36,0.26,22.13,1,47,185,86,0.0,0.4616,0
18.4,22.56,57.29,0.29,22.75,0,33,172,70,0.0,0.6703500000000001,0
18.1,23.67,48.364999999999995,0.255,23.810000000000002,1,18,200,100,0.0,0.9626,1
18.1,22.58,53.73,0.15,22.69,1,34,182,80,0.0,0.80395,0
18.1,22.6,53.66,0.1,22.75,1,43,176,95,0.0,0.8540500000000001,0
17.1,22.04,53.504999999999995,0.195,22.875,1,35,175,65,0.0,0.662,1
16.6,20.58,63.02,0.22,20.62,1,38,186,78,0.0,1.18805,0
16.41,21.935000000000002,55.010000000000005,0.175,22.25,1,26,178,65,0.0,1.10455,0
16.1,20.66,61.64,0.06,21.25,1,27,171,55,0.0,0.88745,1
15.3,20.8,68.93,0.09,21.0,0,25,158,45,0.0,1.15465,0
15.3,21.950000000000003,58.015,0.14,22.09,1,36,179,110,0.0,0.62025,1
15.3,20.81,68.96,0.09,21.0,1,23,180,82,0.0,1.0795,0
15.1,20.87,67.16,0.26,20.81,1,25,184,80,1.0,0.60355,0
15.0,23.17,57.894999999999996,0.04,24.22,0,24,165,56,1.0,0.90415,0
15.0,22.015,59.125,0.15,22.12,0,34,150,50,0.0,0.60355,0
15.0,20.83,67.1,0.09,21.25,1,28,186,95,1.0,0.8958,0
14.8,20.45,64.23,0.27,21.0,1,46,178,105,1.0,0.6954,0
14.8,20.86,62.54,0.06,21.19,1,24,190,89,0.0,0.72045,0
15.0,22.9,57.755,0.04,23.78,0,42,167,70,0.0,0.5451,0
15.2,21.38,68.9,0.09,21.75,1,48,178,68,1.0,0.78725,0
15.41,21.44,68.6,0.09,21.81,0,26,165,58,0.0,0.7121000000000001,0
